Reference;Designation;PurchasedBy;Drawing;Version;Characteristic;GenRef;GenDesign;Component Crit;Component Material Crit;Component Material Function;Number of members;Number of supplier
G_COMP0001;ACE Distal tubing;Alpha;drawing is not relevant for this ref;;III;G_COMP0001_(lll);ACE Distal tubing - length (lll) mm;DETECTABLE;CRITICAL;DETECTABLE;1;1
G_COMP0002;ACE Reinforcement tubing ;ACE producer;G_COMP0002;;/;/;/;DETECTABLE;DETECTABLE;DETECTABLE;0;3
G_COMP0003;Ring contact;ACE producer;G_COMP0003;;ll;G_COMP0003_(ll);Ring contact - width (ll) mm;DETECTABLE;CRITICAL;DETECTABLE;0;2
G_COMP0004;Signal wire PtIr;ACE producer;drawing is not relevant for this ref;;lll;G_COMP0004_(lll);Signal wire PtIr - cut at (lll) mm;DETECTABLE;DETECTABLE;DETECTABLE;1;1
G_COMP0005;Cyanoacrylate Glue (medical grade USP VI);ACE producer;G_COMP0005-TDS (Technical Data Sheet) G_COMP0005-SDS (Safety Data Sheet);;/;/;/;DETECTABLE;CRITICAL;DETECTABLE;0;1
G_COMP0006;Fixed Stylet;See detailed ref;G_COMP0006;;/;/;/;DETECTABLE;DETECTABLE;DETECTABLE;0;0
G_COMP0006-S;Fixed Stylet - Straigthened;ACE producer;G_COMP0006;;lll;G_COMP0006-S_(lll);Fixed Stylet - Straigthened length (lll) mm;DETECTABLE;DETECTABLE;DETECTABLE;0;1
G_COMP0006-SS;Fixed Stylet - Straigthened&Shaped;Alpha;G_COMP0006;;lll;G_COMP0006-SS_(lll);Fixed Stylet - Straigthened&Shaped length (lll) mm;DETECTABLE;DETECTABLE;DETECTABLE;0;1
G_COMP0006-SSI;Fixed Stylet - Straigthened&Shaped&Insulated;ACE producer;G_COMP0006;;lll;G_COMP0006-SSI_(lll);Fixed Stylet - SS&Insulated length (llll) mm;DETECTABLE;DETECTABLE;DETECTABLE;0;2
G_COMP0007;Distal stud;ACE producer;G_COMP0007;;/;/;/;DETECTABLE;CRITICAL;DETECTABLE;0;3
