Name;Reference;Purchase Specification
Alpha;/;/
HPC MEDICAL PRODUCT;?;"""Natural Polyimide Medical grade tubing as per specification drawing G_COMP0002"" (attach to the order the latest drawing version).
""Polyimide compliant with technical spec attached"" (attach to the order the latest raw material technical datasheet approved version).
Certificate(s) of compliance is requested, attesting that:
1) The product are made with a compliant polyimide USP class VI approved (with mention of raw material lot number).
2) Product dimensions and tolerance complied with the order specification (with mention of those dimensions),
3) The products comply with the order specifications"""
MICROLUMEN;?;"""Natural Polyimide Medical grade tubing as per specification drawing G_COMP0002"" (attach to the order the latest drawing version).
""Polyimide compliant with technical spec attached"" (attach to the order the latest raw material technical datasheet approved version).
Certificate(s) of compliance is requested, attesting that:
1) The product are made with a compliant polyimide USP class VI approved (with mention of raw material lot number).
2) Product dimensions and tolerance complied with the order specification (with mention of those dimensions),
3) The products comply with the order specifications"""
NORDSON MEDICAL;?;"""Natural Polyimide Medical grade tubing as per specification drawing G_COMP0002"" (attach to the order the latest drawing version).
""Polyimide compliant with technical spec attached"" (attach to the order the latest raw material technical datasheet approved version).
Certificate(s) of compliance is requested, attesting that:
1) The product are made with a compliant polyimide USP class VI approved (with mention of raw material lot number).
2) Product dimensions and tolerance complied with the order specification (with mention of those dimensions),
3) The products comply with the order specifications"""
JOHNSON MATTHEY;?;"""PtIr ring contacts as per specification drawing G_COMP0003"" (attach to the order the latest drawing version).
""PtIr raw material compliant with specification drawing g_COMP0003 attached"".
""Certificate(s) of compliance requested (with mention of raw material lot number). attesting that:
1) Product dimensions and tolerance complied with the order specification (with mention of those dimensions),
2) The products comply with the order specifications""
""Certificate(s) of analysis of the PtIr lot number used is requested""
""Part measurement report is requested"""
YOKOWO;?;"""PtIr ring contacts as per specification drawing G_COMP0003"" (attach to the order the latest drawing version).
""PtIr raw material compliant with specification drawing g_COMP0003 attached"".
""Certificate(s) of compliance requested (with mention of raw material lot number). attesting that:
1) Product dimensions and tolerance complied with the order specification (with mention of those dimensions),
2) The products comply with the order specifications""
""Certificate(s) of analysis of the PtIr lot number used is requested""
""Part measurement report is requested"""
Alpha;/;/
MOGRA;?;"""Cyanoacrylate Glue ref 4011 (medical grade USP VI) compliant with technical spec attached"" (attach to the order the latest technical datasheet approved version).
20ml bottle with minimum shelf life requested: 10 months ""
""A certificate(s) of compliance from Glue manufacturer attesting that product delivered are compliant with the technical datasheet attached to the order is requested."""
AXFIL;?;"""Straightening and lengthening of tungsten wire following the attached specification"" (attach to order the latest drawing approved version)
""Raw wire ref G_RAW0002 supply by us"" (precise Delivery note reference).
Precise quantity and length expected.
""Certificate(s) of compliance is requested, attesting that:
1) Product dimensions and tolerance complied with the order specification and mentioning those dimension,
2) The raw wire batch number used.
3) The items comply with the order specifications"""
Alpha;/;/
