supplr_name;supplr_receptionNumber;supplr_formID;supplr_agreementNumber;supplr_qualityCertificationNumber;supplr_specificInstructions;supplr_siret ;supplr_website;supplr_activity;supplr_VATNumber ;supplr_endLinkToFolder;Number of address;Number of contact;supplr_real;supplr_critical
Alpha;+33 (0)9 51 32 66 71;S000;/;/;/;85192456300022;/;Fabrication de matériel médico-chirurgical et dentaire (3250A);FR47851924563;/;1;1;yes;no
VESTA FRANKLIN;+33 (0)6 40 54 85 65 ;S011;QA Agreement 08 Jul 2020;ISO 13485:2016 Exp: 2024-11-14;/;/;/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\VESTA FRANKLIN-S011;1;1;yes;no
JOHNSON MATTHEY;+49 9 57 481 460;S002;/;ISO 9001:2015 Exp: 2024-09-01;/;56212636700035;https://matthey.com/;Commerce de produits chimiques industriels (5906);FR66562126367;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\JOHNSON MATTHEY-S002;1;1;yes;no
POLYFIL;+41 4 17 61  63 55;S003;/;ISO 13485:2016 Exp: 2021-06-19;/;81424957900032;http://polyfil-maroc.com/fr/entreprise.html;Travaux d\'installation électrique dans tous locaux (4321A);FR77814249579;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\POLYFIL-S003;1;1;yes;no
INFO CM;+33 (0)9 50 43 15 74;S004;/;/;/;/;/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\INFO\'CM-S004;1;1;yes;no
COMBAT;+863-79 64 68 71 13;S005;/;ISO 9001:2008 Exp: 2017-12-08;/;82337019200028;/;Activités des sociétés holding (6420Z);FR59823370192;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\COMBAT-S005;1;1;yes;no
FORT WAYNE METALS;353-94-9043-505;S006;/;"ISO 13485:2016 Exp: 2021-06-08
ISO 9001:2016 Exp: 2020-02-07
IEC 17025:2005 Exp: 2019-09-30
FDA Registration";/;50266949200014;/;Intermédiaires spécialisés dans le commerce d\'autres produits spécifiques (4618Z);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\FORT WAYNES METAL-S006;1;1;yes;no
PRINCE & IZANT;216.362.7000 x253;S008;/;/;/;/;https://princeizant.com/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\PRINCE & IZANT-S008;1;1;yes;no
IWG & ALBATROZ;864-708-3025;S009;/;/;/;/;/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\IWG & ALBATROZ-S009;1;1;yes;no
AXFIL;+33 (0)2 33 84 16 00;S010;/;ISO9001:2015 Exp: 2019-10-16;/;49863359300039;/;Mécanique industrielle (2562B);FR62498633593;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\AXFIL-S010;1;1;yes;no
