supplrAdr_street;supplrAdr_town;supplrAdr_country;supplrAdr_name;supplrAdr_principal
15 rue Marguerite Syamour;25000 BESANCON;FR;headquarters;yes
9900 S. 57th St.;FRANKLIN, WI 53132;USA;headquarters;yes
1401 King Road;WEST CHESTER, PA 19380;UK;headquarters;yes
Oberallmendstrasse 20A;6300 ZUG;CH;headquarters;yes
2 Ruelle Des Clos;25220 CHALEZEULE;FR;headquarters;yes
"Room D-801World trade center, 
No.258 of Kai Yuan Avenue, LuoLong, ";LUOYANG, HENAN;CH;headquarters;yes
Castlebar Technology Park;CASTLEBAR, Co. MAYO;IE;headquarters;yes
12999 Plaza Dr.; CLEVELAND, OH 44130;USA;headquarters;yes
13230 North Main Street,; P.O.Box 129, TRENTON, GA 30752;USA;headquarters;yes
ZI n°1 Secteur Est;61300 L\'AIGLE;FR;headquarters;yes
547 TRM Circle;CORONA CA 92879;USA;headquarters;yes
8F,No60, Fu-An 2nd street, Zhongli Dist.; Taoyuan City, 320 Taiwan ;TW;headquarters;yes
"3F.,No.245, Puzhong RD., Zhongli Dist, 
???????????245?3?"; Taoyuan City, 320 Taiwan ;TW;headquarters;no
4 C Rue de la Voivre,; 25490 Fesches-le-Châtel;FR;headquarters;yes
Immeuble Le Masters, 25 Rue de Châtillon;25480 ECOLE VALENTIN;FR;headquarters;yes
Site ; /;FR;headquarters;yes
Site; /;FR;headquarters;yes
29 Route Saint-Martin, ;25480 Pirey;FR;headquarters;yes
 /; /;FR;headquarters;yes
 /; /;FR;headquarters;yes
1160 Montée de Jurens;74520 DINGY-EN-VUACHE;FR;headquarters;yes
Site; /;USA;headquarters;yes
Fritz-Oppliger-Strasse 18 - ;2504 Biel/Bienne;CH;headquarters;yes
9, rue pierre Donzelot;25000 Besançon ;FR;headquarters;yes
14, rue du Bief; 25501 MORTEAU Cedex;FR;headquarters;yes
Parc d\'Activités du Rotey;73460 Notre Dame des Millières;FR;headquarters;yes
 /; /;CH;headquarters;yes
"173 Rue des Fougères 
ZI Les Bracots ";74890 BONS EN CHABLAIS ;FR;headquarters;yes
 /; /;FR;headquarters;yes
"3F C301-D3 N°4 Building 
Zhaojiajing Road 
Songjiang District";Shanghai, CHINA 201611;CN;headquarters;yes
33 av. Georges Pompidou ;BP 63254 – 31132 Balma CEDEX;FR;headquarters;yes
"Parc d’activités de Dannemarie sur Crête,

17 rue Thalès ";25320 Chemaudin;FR;headquarters;yes
8, RUE DE NETERY;25870 LES AUXONS;FR;headquarters;yes
ZAC des Ramassiers 7 bis bvd Déodat de Séverac - CS 50145;31770 Colomiers;FR;headquarters;yes
39 bis rue du moulin rouge;10150 CHARMONT SOUS BARBUISE;FR;headquarters;yes
81 chemin des Platières ZAC des Platières;38670 CHASSE SUR RHÔNE;FR;headquarters;yes
TSA 91647;91764-Palaiseau CEDEX;FR;headquarters;yes
One MicroLumen Way;Oldsmar, FL 34677 USA;USA;headquarters;yes
Place Lucien Auvert;F-77020 MELUN Cedex;FR;headquarters;yes
9 RUE MADELEINE BRÈS ;25009 BESANCON  BP1543 ;FR;headquarters;yes
10 rue de brack;57507 St-Avold;FR;headquarters;yes
 /; /;FR;headquarters;yes
6 rue de la Garenne;BP 57, 25290 Ornans;FR;headquarters;yes
20 bis, rue du Vieux Bourg;03600 Commentry;FR;headquarters;yes
4 rue Thalès;25410 Dannemarie sur Crête;FR;headquarters;yes
ZA Le Parvis;38505 VOIRON;FR;headquarters;yes
14, rue de la Verrerie CS 40012;92197 Meudon Cedex;FR;headquarters;yes
"ZAE des Bords d\'Arve
153, rue de l\'Arve";74950 SCIONZIER;FR;headquarters;yes
6 rue du levant,;25480 Ecole-Valentin;FR;headquarters;yes
N° 49B Route Départementale 201;68390 SAUSHEIM;FR;headquarters;yes
1766,Route de Conlière ;39570 Perrigny;FR;headquarters;yes
No.363 ZhongShi Road,Xiangcheng District,;215000 SU ZHOU;CH;headquarters;yes
Z.L Esplanade Nord;25220 Thise;FR;headquarters;yes
No.28, Huashan Road, Shilou Town,;Panyu District, 511450 Guangzhou, China;CH;headquarters;yes
333 COURS DU 3E MILLENAIRE;69800 SAINT PRIEST;FR;headquarters;yes
Z.A. Aux Grands Champs;25410 DANNEMARIE-SUR-CRETE;FR;headquarters;yes
PARQUE IND.DE JUNDIZ -CTV C/ZPRROLLETA, 1B;01015 VITORIA(ALAVA);ES;headquarters;yes
1 PLACE DE LA REPUBLIQUE;59375 DUNKERQUE CEDEX 1;FR;headquarters;yes
1410, Chemin des Chaberts;83136 GAREOULT ;FR;headquarters;yes
7 bis route de Besançon;25320 Boussières;FR;headquarters;yes
10 RUE Jean Rouxel;44700 ORAVULT;FR;headquarters;yes
6 Building, No. 999 Songhuang Road, Qingpu Industrial Zone,  ;201706, Shanghai, ;CH;headquarters;yes
No. 10 Longfeng Industry Ave., Longjiang Town, Shunde District; Foshan, Guangdong;CH;headquarters;yes
Rue René Cassin.;77290 MITRY-MORY ;FR;headquarters;yes
65 Rue Auguste Meunier,;77500 Chelles;FR;headquarters;yes
2 rue Claude MONNET;70000 Vesoul ;FR;headquarters;yes
First Floor of E BD,Baizhushan Industrial Park,Xinqiao,Wanfeng, Shajing,Baoan,; Shenzhen, China 518104;CH;headquarters;yes
Espace Diderot6b, boulevard Diderot;25000 Besançon;FR;headquarters;yes
26, RUE DES PONCEES;88202 ST ETIENNE LES REMIREMONT Cedex;FR;headquarters;yes
201, rue Carnot ;F-94126 Fontenay-sous-Bois cedex ;FR;headquarters;yes
127 rue du Perret 74460 MARNAZ;74314 CLUSES;FR;Livraisons;yes
105, Rue du Bargy       BP 16 MARNAZ;FR - 74314 CLUSES CEDEX;FR;headquarters;no
 5, Chemin du vieux Village;25170 CHAMPAGNEY;FR;headquarters;yes
